Sentence,Sentiment,text_length,pred_label,confidence,pos_score,neg_score,neu_score,sentiment_score
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,22,positive,0.8166975975036621,0.8166975975036621,0.008776362054049969,0.1745261251926422,0.8079212354496121
The company closed last year with a turnover of about four million euros .,neutral,14,neutral,0.933536946773529,0.04379093274474144,0.022672099992632866,0.933536946773529,0.021118832752108574
Shire CEO steps up drive to get Baxalta board talking,positive,10,neutral,0.7747788429260254,0.2116977721452713,0.0135233448818326,0.7747788429260254,0.1981744272634387
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,8,neutral,0.8128568530082703,0.177372545003891,0.009770626202225685,0.8128568530082703,0.1676019188016653
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,22,neutral,0.867777943611145,0.1241663321852684,0.008055712096393108,0.867777943611145,0.1161106200888753
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,33,neutral,0.8381091952323914,0.1503700613975525,0.011520721018314362,0.8381091952323914,0.13884934037923813
All are welcome .,neutral,4,neutral,0.7893409729003906,0.19030608236789703,0.020353000611066818,0.7893409729003906,0.16995308175683022
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,41,positive,0.8006353378295898,0.8006353378295898,0.01021274458616972,0.18915191292762756,0.7904225932434201
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,35,neutral,0.9483705759048462,0.020561458542943,0.031067978590726852,0.9483705759048462,-0.010506520047783852
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,12,positive,0.8278391361236572,0.8278391361236572,0.008546487428247929,0.1636143922805786,0.8192926486954093
- Profit before taxes was EUR 105.9 82.7 million .,neutral,10,neutral,0.9256082773208618,0.02405095286667347,0.05034077540040016,0.9256082773208618,-0.026289822533726692
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,11,neutral,0.8982338905334473,0.09074905514717102,0.011017094366252422,0.8982338905334473,0.0797319607809186
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,21,neutral,0.9329522848129272,0.01673724502325058,0.05031047761440277,0.9329522848129272,-0.03357323259115219
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,31,neutral,0.7785107493400574,0.13800756633281708,0.08348172158002853,0.7785107493400574,0.054525844752788544
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,34,positive,0.39476943016052246,0.39476943016052246,0.3768905997276306,0.22833995521068573,0.017878830432891846
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,13,neutral,0.9256404042243958,0.04982129856944084,0.02453826554119587,0.9256404042243958,0.025283033028244972
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,16,negative,0.864624559879303,0.022508958354592323,0.864624559879303,0.11286649852991104,-0.8421156015247107
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,21,neutral,0.8663777112960815,0.036127474159002304,0.09749478101730347,0.8663777112960815,-0.06136730685830116
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,30,negative,0.9375442862510681,0.013058848679065704,0.9375442862510681,0.049396876245737076,-0.9244854375720024
InterContinental Hotels first-quarter global room revenue lags estimates,negative,8,negative,0.9669410586357117,0.011004996486008167,0.9669410586357117,0.022053947672247887,-0.9559360621497035
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,32,neutral,0.8017078042030334,0.1885550320148468,0.009737187996506691,0.8017078042030334,0.1788178440183401
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,27,neutral,0.8897732496261597,0.09076885133981705,0.019457867369055748,0.8897732496261597,0.0713109839707613
"L&G still paying price for dividend cut during crisis, chief says",negative,11,positive,0.5866417288780212,0.5866417288780212,0.1432359516620636,0.27012237906455994,0.44340577721595764
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,22,neutral,0.8812380433082581,0.10875267535448074,0.010009302757680416,0.8812380433082581,0.09874337259680033
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,32,neutral,0.9196590185165405,0.04762157425284386,0.032719407230615616,0.9196590185165405,0.014902167022228241
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,29,positive,0.9522870182991028,0.9522870182991028,0.01859103888273239,0.029121894389390945,0.9336959794163704
Profit of the accounting period was EUR 0.3 mn .,neutral,10,neutral,0.8637462854385376,0.03506273776292801,0.1011909618973732,0.8637462854385376,-0.06612822413444519
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,27,positive,0.9492983818054199,0.9492983818054199,0.02372056245803833,0.026981087401509285,0.9255778193473816
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,27,positive,0.9525552988052368,0.9525552988052368,0.0272707287222147,0.02017395757138729,0.9252845700830221
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,16,positive,0.9574609994888306,0.9574609994888306,0.015584657900035381,0.02695433609187603,0.9418763415887952
Tesco share price jumps as Q3 sales top estimates,positive,9,positive,0.5510703325271606,0.5510703325271606,0.39511817693710327,0.053811438381671906,0.15595215559005737
The fine print is here .,neutral,6,neutral,0.9037494659423828,0.07682979851961136,0.019420752301812172,0.9037494659423828,0.05740904621779919
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,19,positive,0.9592320322990417,0.9592320322990417,0.019168715924024582,0.021599212661385536,0.9400633163750172
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,36,neutral,0.9203351140022278,0.06796982884407043,0.011695007793605328,0.9203351140022278,0.05627482105046511
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,15,negative,0.9750089049339294,0.008645063266158104,0.9750089049339294,0.016346024349331856,-0.9663638416677713
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,21,neutral,0.8969349265098572,0.07424016296863556,0.028824957087635994,0.8969349265098572,0.045415205880999565
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,31,neutral,0.8558277487754822,0.1360420435667038,0.008130152709782124,0.8558277487754822,0.12791189085692167
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,19,positive,0.9248644113540649,0.9248644113540649,0.026670927181839943,0.04846459999680519,0.898193484172225
The firm generated sales of 187 mln eur in 2005 .,neutral,11,neutral,0.8744381070137024,0.11549315601587296,0.010068738833069801,0.8744381070137024,0.10542441718280315
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,27,neutral,0.6602213978767395,0.3120821416378021,0.027696480974555016,0.6602213978767395,0.2843856606632471
AstraZeneca profit down as sales of stalwarts fade,negative,8,negative,0.9667911529541016,0.017641281709074974,0.9667911529541016,0.015567617490887642,-0.9491498712450266
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,14,positive,0.4905887842178345,0.4905887842178345,0.08840158581733704,0.4210096597671509,0.40218719840049744
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,20,neutral,0.6957836151123047,0.05025480315089226,0.25396159291267395,0.6957836151123047,-0.2037067897617817
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,13,negative,0.971401572227478,0.006499697454273701,0.971401572227478,0.022098666056990623,-0.9649018747732043
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,21,neutral,0.9499041438102722,0.03569938242435455,0.014396550133824348,0.9499041438102722,0.021302832290530205
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,25,positive,0.9128243327140808,0.9128243327140808,0.007642244454473257,0.07953342795372009,0.9051820882596076
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,35,negative,0.9722821116447449,0.007573761977255344,0.9722821116447449,0.02014406956732273,-0.9647083496674895
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,28,neutral,0.9321963787078857,0.017949119210243225,0.049854423850774765,0.9321963787078857,-0.03190530464053154
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,19,neutral,0.9060503244400024,0.06970364600419998,0.024246007204055786,0.9060503244400024,0.045457638800144196
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,21,neutral,0.7134951949119568,0.27878889441490173,0.0077159209176898,0.7134951949119568,0.27107297349721193
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,42,negative,0.9391230940818787,0.051157619804143906,0.9391230940818787,0.00971920508891344,-0.8879654742777348
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,8,negative,0.9488507509231567,0.011786652728915215,0.9488507509231567,0.0393625870347023,-0.9370640981942415
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,17,negative,0.9767122864723206,0.008812620304524899,0.9767122864723206,0.014475034549832344,-0.9678996661677957
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,15,positive,0.9558490514755249,0.9558490514755249,0.022118814289569855,0.022032203152775764,0.933730237185955
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,18,negative,0.9765557646751404,0.007324897218495607,0.9765557646751404,0.016119318082928658,-0.9692308674566448
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,15,positive,0.9575731754302979,0.9575731754302979,0.02293059043586254,0.019496336579322815,0.9346425849944353
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,13,neutral,0.868049681186676,0.07908058166503906,0.052869778126478195,0.868049681186676,0.026210803538560867
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,27,negative,0.9662134051322937,0.015561973676085472,0.9662134051322937,0.018224623054265976,-0.9506514314562082
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,23,neutral,0.9164063930511475,0.07105432450771332,0.012539301998913288,0.9164063930511475,0.05851502250880003
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,35,positive,0.8825005292892456,0.8825005292892456,0.013261515647172928,0.10423794388771057,0.8692390136420727
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,28,negative,0.9739954471588135,0.007946191355586052,0.9739954471588135,0.01805836893618107,-0.9660492558032274
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,54,negative,0.9760549068450928,0.01022801548242569,0.9760549068450928,0.013717055320739746,-0.9658268913626671
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,24,positive,0.9004120826721191,0.9004120826721191,0.008244698867201805,0.09134326130151749,0.8921673838049173
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,20,neutral,0.5915444493293762,0.3974290192127228,0.011026493273675442,0.5915444493293762,0.38640252593904734
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,19,negative,0.7316926717758179,0.013046544045209885,0.7316926717758179,0.2552608251571655,-0.718646127730608
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,33,neutral,0.8916742205619812,0.07661470770835876,0.031711071729660034,0.8916742205619812,0.04490363597869873
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,29,positive,0.7033100128173828,0.7033100128173828,0.00892176665365696,0.28776824474334717,0.6943882461637259
$YANG Double bottom 5.2,positive,4,neutral,0.8356863856315613,0.0853048786520958,0.0790088027715683,0.8356863856315613,0.006296075880527496
Tesco share price down as grocer faces SFO investigation outcome,negative,10,negative,0.954598069190979,0.012975921854376793,0.954598069190979,0.03242594748735428,-0.9416221473366022
$aapl news is becoming very bullish again http://stks.co/tMU,positive,8,neutral,0.803816020488739,0.17170600593090057,0.024477938190102577,0.803816020488739,0.147228067740798
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,30,neutral,0.7017835378646851,0.29065844416618347,0.007558004930615425,0.7017835378646851,0.28310043923556805
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,34,neutral,0.9502877593040466,0.021069303154945374,0.028642969205975533,0.9502877593040466,-0.007573666051030159
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,25,neutral,0.5510831475257874,0.03468255326151848,0.41423431038856506,0.5510831475257874,-0.3795517571270466
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,30,neutral,0.6200599670410156,0.06262041628360748,0.3173195719718933,0.6200599670410156,-0.2546991556882858
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,37,positive,0.7582604885101318,0.7582604885101318,0.010761089622974396,0.2309783548116684,0.7474993988871574
$TSLA recall,negative,2,neutral,0.9126675724983215,0.03462648019194603,0.05270596593618393,0.9126675724983215,-0.0180794857442379
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,29,negative,0.9362541437149048,0.008782243356108665,0.9362541437149048,0.05496351048350334,-0.9274719003587961
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,11,positive,0.8825221061706543,0.8825221061706543,0.0951802060008049,0.0222976915538311,0.7873419001698494
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,16,negative,0.9663863182067871,0.008215723559260368,0.9663863182067871,0.025397982448339462,-0.9581705946475267
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,25,negative,0.9656661748886108,0.007486218120902777,0.9656661748886108,0.026847610250115395,-0.9581799567677081
The value of the orders is over EUR 10mn .,neutral,10,neutral,0.9167276620864868,0.07189414650201797,0.011378239840269089,0.9167276620864868,0.060515906661748886
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,23,neutral,0.8938304781913757,0.0978921428322792,0.0082773482427001,0.8938304781913757,0.0896147945895791
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,24,neutral,0.8946895003318787,0.0959380567073822,0.009372465312480927,0.8946895003318787,0.08656559139490128
Aberdeen Asset Management Gains Foothold In China,positive,7,positive,0.7914487719535828,0.7914487719535828,0.03828892856836319,0.170262411236763,0.7531598433852196
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,21,neutral,0.9365804195404053,0.04731464758515358,0.01610487885773182,0.9365804195404053,0.03120976872742176
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,20,negative,0.9470296502113342,0.012996329925954342,0.9470296502113342,0.039973970502614975,-0.9340333202853799
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,52,negative,0.9756988286972046,0.008148180320858955,0.9756988286972046,0.016152963042259216,-0.9675506483763456
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,31,neutral,0.8614639043807983,0.13101372122764587,0.007522353436797857,0.8614639043807983,0.12349136779084802
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,28,neutral,0.9053369760513306,0.08415067195892334,0.01051239762455225,0.9053369760513306,0.07363827433437109
$GOOGL is a short below 740 into the upper BB and is overbought,negative,13,negative,0.7410633563995361,0.07701212912797928,0.7410633563995361,0.181924507021904,-0.6640512272715569
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,23,neutral,0.9256110191345215,0.050388991832733154,0.024000048637390137,0.9256110191345215,0.026388943195343018
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,33,negative,0.9763818383216858,0.00782787799835205,0.9763818383216858,0.015790292993187904,-0.9685539603233337
The total value of the contract is some EUR 8 million .,neutral,12,neutral,0.9435968399047852,0.03982607647776604,0.016577040776610374,0.9435968399047852,0.023249035701155663
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,34,neutral,0.9356364011764526,0.05361660569906235,0.01074705459177494,0.9356364011764526,0.04286955110728741
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,26,neutral,0.9474934935569763,0.03453012928366661,0.01797635480761528,0.9474934935569763,0.01655377447605133
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,28,positive,0.9456454515457153,0.9456454515457153,0.01265261322259903,0.04170200973749161,0.9329928383231163
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,18,negative,0.8123697638511658,0.01138875912874937,0.8123697638511658,0.17624151706695557,-0.8009810047224164
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,48,positive,0.9479159712791443,0.9479159712791443,0.031005725264549255,0.0210783202201128,0.916910246014595
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,31,neutral,0.9481089115142822,0.020366499200463295,0.03152455762028694,0.9481089115142822,-0.011158058419823647
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,9,positive,0.8513098359107971,0.8513098359107971,0.008160023018717766,0.14053010940551758,0.8431498128920794
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative,30,negative,0.9736610651016235,0.006488541606813669,0.9736610651016235,0.01985042728483677,-0.9671725234948099
$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive,12,positive,0.5359262228012085,0.5359262228012085,0.30689889192581177,0.15717482566833496,0.22902733087539673
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,25,negative,0.9757064580917358,0.006688960827887058,0.9757064580917358,0.017604611814022064,-0.9690174972638488
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,16,positive,0.8668023347854614,0.8668023347854614,0.01475092675536871,0.11844675242900848,0.8520514080300927
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",neutral,23,neutral,0.7778993248939514,0.020348720252513885,0.20175202190876007,0.7778993248939514,-0.18140330165624619
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral,18,positive,0.8331083655357361,0.8331083655357361,0.015347025357186794,0.15154457092285156,0.8177613401785493
The adjustment measures will be carried out in phases to secure the delivery capability .,neutral,15,positive,0.7828066945075989,0.7828066945075989,0.009629112668335438,0.20756427943706512,0.7731775818392634
"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",neutral,43,neutral,0.9533573985099792,0.028002923354506493,0.018639707937836647,0.9533573985099792,0.009363215416669846
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",negative,13,negative,0.9637542963027954,0.0074160462245345116,0.9637542963027954,0.02882966212928295,-0.9563382500782609
"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",neutral,39,neutral,0.9409971833229065,0.017233962193131447,0.041768841445446014,0.9409971833229065,-0.024534879252314568
"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral,17,neutral,0.9384109973907471,0.03950326144695282,0.022085776552557945,0.9384109973907471,0.017417484894394875
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,18,neutral,0.7079270482063293,0.10921318829059601,0.18285976350307465,0.7079270482063293,-0.07364657521247864
